gloss,text
"X-YOU HAVE TO HAVE SOUND EU FOOD POLICY .
","you have to have a sound eu food policy .
"
"TWO POINT X-I HAVE MAKE SHOW X-IT TO BE FALL DESC-VERY DESC-SHORT .
","the two points I have made show it to be falling very short .
"
"THIS BE DISCUSSION WHICH BE DESC-FUNDAMENTAL TO FOOD POLICY .
","this is a discussion which is fundamental to food policy .
"
"X-I BE DESC-NOT DESC-INTERESTED IN SHAME BRAZIL OR DESC-OR COUNTRY .
","i am not interested in shaming brazil or other countries .
"
"IF REGULATION BE NEED , DESC-N DESC-SAME RULE MUST APPLY TO IMPORT AS TO X-WE DESC-OWN FARMER .
","if the regulations are needed , then the same rules must apply to imports as to our own farmers .
"
"COMMISSION MUST DESC-NOT ALLOW IMPORT FROM COUNTRY WHICH DO DESC-NOT FULFIL SE REQUIREMENT .
","the commission must not allow imports from countries which do not fulfil these requirements .
"
"THIS BE DESC-NOT DESC-ACCEPTABLE .
","this is not acceptable .
"
"IF TRACEABILITY BE DESC-SO DESC-IMPORTANT FOR CONSUMER PROTECTION , DESC-N X-IT MUST DESC-ALSO APPLY TO IMPORT .
","if traceability is so important for consumer protection , then it must also apply to imports .
"
"X-I HAVE IMPRESSION THAT THOSE PEOPLE IN COMMISSION WHO BE DESC-RESPONSIBLE FOR IMPORT BE APPLY DESC-DOUBLE STANDARD .
","i have the impression that those people in the commission who are responsible for imports are applying double standards .
"
"AS DESC-ALREADY DISCUSS , X-I BE DESC-NOT DESC-INTERESTED IN PARTITION OFF EUROPE .
","as already discussed , I am not interested in partitioning off europe .
"
"X-WE WILL DESC-NOT GIVE DESC-UP UNTIL DESC-EQUAL DESC-COMPETITIVE CONDITION HAVE BE ESTABLISH .
","we will not give up until equal competitive conditions have been established .
"
"ISSUE COMPETITIVENESS EUROPEAN AGRICULTURE BE COMPLEX ONE THAT REQUIRE IN DEPTH DEBATE .
","the issue of the competitiveness of european agriculture is a complex one that requires in depth debate .
"
"NOTHING COULD BE DESC-FURR FROM TRUTH .
","nothing could be further from the truth .
"
"X-Y FIND X-MSELVES UNDER ATTACK ON DESC-MANY FRONT .
","they find themselves under attack on many fronts .
"
"HOW CAN CONSUMER SEE ANY LOGIC ?
","how can the consumer see any logic ?
"
"BEEF FARMER BE DESC-NOT ASK FOR DESC-SPECIAL PRIVILEGE DESC-JUST LEVEL PLAY FIELD .
","beef farmers are not asking for special privileges just a level playing field .
"
"AS X-YOU BE DESC-WELL DESC-AWARE , EUROPE BE NET IMPORTER MEAT .
","as you are well aware , europe is a net importer of meat .
"
"IN X-WE CONTINENT , EUROPE , X-WE PRODUCE DESC-ONLY 60 % X-WE REQUIREMENT .
","in our continent , europe , we produce only 60 % of our requirements .
"
"THIS MEAN THAT X-WE BE FORCE TO IMPORT .
","this means that we are forced to import .
"
"DESC-YET X-WE WISH TO GUARANTEE CONSUMPTION CONDITION AND HEALTH X-WE CONSUMER .
","yet we wish to guarantee consumption conditions and the health of our consumers .
"
"DESC-ORWISE , X-YOU WILL DESC-SIMPLY BE MAKE X-IT DESC-IMPOSSIBLE FOR X-WE FARMER TO COMPETE .
","otherwise , you will simply be making it impossible for our farmers to compete .
"
"THAT APPLY TO IDENTIFICATION AND REGISTRATION CATTLE AND TO ANIMAL DISEASE PREVENTION MEASURE IN BRAZIL .
","that applies to the identification and registration of cattle and to animal disease prevention measures in brazil .
"
"COMMISSIONER , X-YOU DESC-ALSO SPEAK ABOUT FOOT AND MOUTH .
","commissioner , you also spoke about foot and mouth .
"
"X-I AGREE WITH X-YOU THAT X-WE HAVE DESC-INDEED TAKE SOME STEP DESC-FORWARD .
","i agree with you that we have indeed taken some steps forward .
"
"FOR EXAMPLE , VACCINATION HAVE BE GIVE DESC-GREATER PROMINENCE IN COMBATE DISEASE .
","for example , vaccination has been given greater prominence in the combating of the disease .
"
"X-SHE COULD HAVE ANSWER MORE DESC-CONCISELY .
","she could have answered more concisely .
"
"WHAT X-MY GROUP AND DESC-NOW PARLIAMENT BE ASK FOR HAVE NOTHING TO DO WITH TRADE RESTRICTION .
","what my group and now parliament are asking for has nothing to do with trade restrictions .
"
"X-WE WANT DESC-FAIR RULE IN MARKET ECONOMY WITHIN EU AND DESC-ABROAD , NO MORE AND NO DESC-LESS .
","we want fair rules in the market economy within the eu and abroad , no more and no less .
"
"X-WE WILL BE CALL FOR THIS DESC-NOW AND IN FUTURE FROM COMMISSION .
","we will be calling for this now and in future from the commission .
"
"X-YOU CAN BE DESC-SURE THAT .
","you can be sure of that .
"
"MADAM PRESIDENT , DEBATE DESC-PRIOR TO THIS BE ABOUT HUNGER .
","madam president , the debate prior to this was about hunger .
"
"SE TWO DEBATE BE LINK .
","these two debates are linked .
"
"BUT BEEF BE CASH CROP .
","but beef is a cash crop .
"
"X-IT BE PRODUCE AS DESC-CHEAPLY AS COUNTRY CAN PRODUCE X-IT .
","it is produced as cheaply as countries can produce it .
"
"IF X-WE BE CONCERN ABOUT CONSUMER PROTECTION WORLDWIDE , X-WE WILL DO TWO THING .
","if we are concerned about consumer protection worldwide , we will do two things .
"
"DE MADAM PRESIDENT , X-WE CITIZEN HAVE DESC-HIGH EXPECTATION REGARD SAFETY AND QUALITY X-Y FOOD .
","de madam president , our citizens have high expectations regarding the safety and quality of their food .
"
"THIS CONCERN DESC-NOT DESC-ONLY ANIMAL HEALTH AND FOOD SAFETY , BUT DESC-ALSO DESC-ENVIRONMENTAL STANDARD , PRODUCTION AND ANIMAL WELFARE .
","this concerns not only animal health and food safety , but also environmental standards , production and animal welfare .
"
"TRACEABILITY AND ACCOMPANY TRANSPARENCY FOODSTUFF FROM PRODUCER TO CONSUMER BE DESC-ONLY GUARANTEE IN EUROPE .
","the traceability and accompanying transparency of foodstuffs from the producer to the consumer is only guaranteed in europe .
"
"EUROPE HAVE CHOOSE FOOD MODEL TO PROTECT X-ITS POPULATION .
","europe has chosen a food model to protect its population .
"
"DESC-OR DAY IN COMMITTEE , X-WE LEARN FOOD AND DESC-VETERINARY OFFICE X-POSS REPORT .
","the other day in committee , we learnt of the food and veterinary office's report .
"
"COMMISSIONER , SHOULD X-WE BE DESC-ASHAMED HAVE DESC-STRICT RULE TO PROTECT X-WE CONSUMER ?
","commissioner , should we be ashamed of having strict rules to protect our consumers ?
"
"SHOULD X-WE BE DESC-ASHAMED IMPOSE SE RULE ON THOSE WHO WANT TO FEED X-WE CONSUMER ?
","should we be ashamed of imposing these rules on those who want to feed our consumers ?
"
"X-WE MARKET ACCESS CONDITION BE DESC-IMPORTANT CONDITION BECAUSE X-Y AFFECT FOOD AND X-Y AFFECT HEALTH X-WE RESIDENT .
","our market access conditions are important conditions because they affect food and they affect the health of our residents .
"
"X-WE HAVE NOTHING TO BE DESC-ASHAMED .
","we have nothing to be ashamed of .
"
"PL MADAM PRESIDENT , X-WE WANT TO EXPORT , BUT X-WE DESC-ALSO HAVE TO IMPORT .
","pl madam president , we want to export , but we also have to import .
"
"BE DESC-ONLY EFFECT DESC-IMPORTANT DESC-HERE , AS IN CASE IMPORT FROM BRAZIL ?
","are only the effects important here , as in the case of imports from brazil ?
"
"AT THIS POINT , X-WE EXPORT TO RUSSIUM AMOUNT TO EUR 1 BILLION PER YEAR DESC-MOSTLY FROM IRELAND .
","at this point , our exports to russia amount to eur 1 billion per year mostly from ireland .
"
"X-WE BE TRY TO CONVINCE RUSSIUM THAT X-WE CAN DESC-NOT ACCEPT DESC-SAME RULE AS APPLY IN RUSSIUM .
","we are trying to convince russia that we cannot accept the same rules as applied in russia .
"
"THIS BE WHAT X-WE BE DO .
","this is what we are doing .
"
"X-WE APPLY DESC-VERY DESC-STRICT RULE .
","we applied very strict rules .
"
"X-I GIVE X-YOU FIGURE .
","i gave you the figures .
"
"THAT BE DESC-ALSO WHAT X-WE HAVE ASK BRAZIL TO DO .
","that is also what we have asked brazil to do .
"
"PROBLEM BE IDENTIFY IN BRAZIL .
","problems were identified in brazil .
"
"SE PROBLEM BE RECOGNIZE TO BE DESC-MINOR PROBLEM BY FVO TEAM .
","these problems were recognised to be minor problems by the fvo team .
"
"DESC-NEVERLESS , BRAZILIAN AUTHORITY MAKE UNDERTAKING TO REVIEW DATABASE TO AVOID DESC-INCORRECT DATUM .
","nevertheless , the brazilian authorities made an undertaking to review the database to avoid incorrect data .
"
"X-Y KNOW THAT X-Y WILL FIND DEFECT . X-Y GO .
","the fvo missions have this in mind when they go . they know that they will find defects .
"
"X-WE HAVE HEAR LOT ABOUT ROMANIUM AND BULGARIUM .
","we have heard a lot about romania and bulgaria .
"
"X-YOU CAN DESC-ALSO BE ASSURE THAT X-WE FVO MISSION TO DESC-THIRD COUNTRY WILL BE DESC-VERY DESC-STRICT .
","you can also be assured that our fvo missions to third countries will be very strict .
"
"X-WE SHALL REMAIN VIGILANT AND IF SOMETHING GO DESC-WRONG , X-WE SHALL TRY TO PUT X-IT DESC-RIGHT .
","we shall remain vigilant and if something goes wrong , we shall try to put it right .
"
"X-WE SHALL REMAIN VIGILANT AND DESC-STRICT .
","we shall remain vigilant and strict .
"
"IF X-Y DO DESC-NOT , DESC-N X-Y WILL DESC-NOT .
","if they do not , then they will not .
"
"DEBATE BE DESC-CLOSE .
","the debate is closed .
"
"WRITE STATEMENT RULE 149
","written statements rule 149 
"
"EUROPEAN UNION X-POSS FOOD SAFETY REGULATION BE MOST DESC-STRINGENT AND DESC-HIGH LEVEL IN WORLD .
","the european union's food safety regulations are the most stringent and high level in the world .
"
"DESC-HOWEVER , COMPLIANCE WITH SE REGULATION INCUR DESC-SIGNIFICANT DESC-ADDITIONAL COST FOR EUROPE X-POSS FARMER .
","however , compliance with these regulations incurs significant additional costs for europe's farmers .
"
"DESC-VERY DESC-OFTEN , DESC-HOWEVER , PRODUCT COME FROM DESC-THIRD COUNTRY DO DESC-NOT MEET SE FOOD SAFETY STANDARD .
","very often , however , products coming from third countries do not meet these food safety standards .
"
"DESPITE THIS , X-Y DESC-SIGNIFICANTLY DESC-LOWER PRICE MAKE X-Y DESC-COMPETITIVE IN MARKETPLACE .
","despite this , their significantly lower price makes them competitive in the marketplace .
"
"SUBJECT X-WE BE DISCUSS HAVE ANOR ASPECT .
","the subject we are discussing has another aspect .
"
"X-WE SHOULD DRAW CONCLUSION FROM DESC-CRITICAL SITUATION IN DAIRY MARKET .
","we should draw conclusions from the critical situation in the dairy market .
"
"THANK X-YOU FOR X-YOU ATTENTION .
","thank you for your attention .
"
"AGENDA FOR NEXT SIT SEE MINUTE
","agenda for next sitting see minutes
"
"CLOSURE SIT
","closure of the sitting
"
"OPEN SIT
","opening of the sitting
"
"DOCUMENT RECEIVE SEE MINUTE
","documents received see minutes
"
"PRESENTATION COURT AUDITORSANNUAL REPORT 2008 DEBATE
","presentation of the court of auditorsannual report 2008 debate 
"
"NEXT ITEM BE PRESENTATION COURT AUDITORSANNUAL REPORT .
","the next item is the presentation of the court of auditorsannual report .
"
"X-WE HAVE FOUR KEY MESSAGE IN THIS YEAR X-POSS DESC-ANNUAL REPORT .
","we have four key messages in this year's annual report .
"
"DESC-FIRST , COURT GIVE DESC-UNQUALIFIED OPINION ON ACCOUNT FOR DESC-SECOND YEAR RUN .
","first , the court gives an unqualified opinion on the accounts for the second year running .
"
"AS IN DESC-PREVIOUS YEAR , FOR 2008 , COURT GIVE DESC-UNQUALIFIED OPINION ON REVENUE AND ON COMMITMENT .
","as in previous years , for 2008 , the court gives an unqualified opinion on revenue and on commitments .
"
"PICTURE FOR PAYMENT , DESC-HOWEVER , CONTINUE TO BE MIX .
","the picture for payments , however , continues to be mixed .
"
"FOR DESC-ADMINISTRATIVE AND DESC-OR EXPENDITURE , COURT GIVE DESC-UNQUALIFIED OPINION AS IN DESC-PREVIOUS YEAR .
","for administrative and other expenditure , the court gives an unqualified opinion as in previous years .
"
"SYSTEM IN THIS AREA CONTINUE , DESC-HOWEVER , TO BE ASSESS AS DESC-ONLY DESC-PARTIALLY DESC-EFFECTIVE .
","systems in this area continue , however , to be assessed as only partially effective .
"
"THIS BE DESC-FIRST TIME COURT GIVE QUALIFY OPINION AND DESC-NOT DESC-ADVERSE ONE .
","this is the first time the court gives a qualified opinion and not an adverse one .
"
"COHESION REMAIN AREA MOST AFFECT BY ERROR .
","cohesion remains the area most affected by error .
"
"COMMISSION HAVE CLAIM THAT CORRECTION AND RECOVERY MECHANISM MITIGATE EFFECT ERROR .
","the commission has claimed that the correction and recovery mechanisms mitigate the effects of the errors .
"
"X-IT BE DESC-REFORE DESC-TOO DESC-EARLY TO SAY WHER CHANGE TO RULE OR SYSTEM HAVE REDUCE LEVEL ERROR .
","it is therefore too early to say whether changes to rules or systems have reduced the level of errors .
"
"DESC-NEVERLESS , DESC-LEGAL REQUIREMENT REMAIN COMPLEX AND CONTROL SYSTEM CONTINUE TO BE DESC-ONLY DESC-PARTIALLY DESC-EFFECTIVE .
","nevertheless , legal requirements remain complex and control systems continue to be only partially effective .
"
"THIS BRING X-I TO DESC-FOURTH AND DESC-LAST KEY MESSAGE THIS DESC-ANNUAL REPORT .
","this brings me to the fourth and last key message of this annual report .
"
"MR PRESIDENT , COMMISSION DESC-WELCOME COURT X-POSS DESC-ANNUAL REPORT FOR 200I HAVE DESC-ALREADY HAVE OPPORTUNITY TO THANK COURT FOR DESC-VERY DESC-GOOD COOPERATION ENJOY DESC-AGAIN THIS YEAR .
","vice president of the commission . mr president , the commission welcomes the court's annual report for 200i have already had the opportunity to thank the court for the very good cooperation enjoyed again this year .
"
"X-WE HAVE HAVE DESC-VERY DESC-FRUITFUL DIALOGUE AND REPORT BE DESC-VERY DESC-CONSTRUCTIVE .
","we have had a very fruitful dialogue and the report is very constructive .
"
"AS X-YOU HAVE DESC-JUST HEAR PRESIDENT CALDEIRA STATE , LEVEL IRREGULARITY HAVE DECREASE DESC-OVERALL IN DESC-RECENT YEAR .
","as you have just heard president caldeira state , the level of irregularity has decreased overall in recent years .
"
"THIS CAN DESC-CERTAINLY BE ATTRIBUTE TO DESC-SUBSTANTIAL SIMPLIFICATION EFFORT DESC-RECENT YEAR .
","this can certainly be attributed to the substantial simplification efforts of recent years .
"
"DESC-THIRDLY , POLICY GROUP ENTITLEDEDUCATION AND CITIZENSHIPHA DESC-ALSO BECOME DESC-GREEN .
","thirdly , the policy group entitlededucation and citizenshiphas also become green .
"
"DESC-AGAIN , AS DESC-LAST YEAR , COURT HAVE FIND NO RED LIGHT FOR MANAGEMENT AND CONTROL SYSTEM .
","again , as last year , the court has found no red light for the management and control systems .
"
"THIS SAY , REPORT DESC-ALSO DESC-CLEARLY CHART WORK THAT DESC-STILL NEED TO BE DO .
","this said , the report also clearly charts the work that still needs to be done .
"
"COMMISSION BE DESC-NOT DESC-SHY REGARD TRANSPARENCY AS TO WHERE DESC-SYSTEMIC PROBLEM LIE .
","the commission is not shy regarding transparency as to where the systemic problems lie .
"
"NAME SE MEMBER STATE BE PUBLISH DESC-BACK IN JUNE IN COMMISSION X-POSS SYNSIS REPORT .
","the names of these member states were published back in june in the commission's synthesis report .
"
"X-WE NEED THIS TO PROVE THAT DESC-MULTIANNUAL CONTROL SYSTEM WORK AND TO MITIGATE EFFECT ERROR DETECT .
","we need this to prove that multiannual control systems work and to mitigate the effects of the errors detected .
"
"COMMISSION AGREE THAT X-WE DESC-OBVIOUSLY NEED TO BE DESC-ABLE TO COUNT ON QUALITY INPUT FROM MEMBER STATE .
","the commission agrees that we obviously need to be able to count on quality inputs from member states .
"
"X-WE SEE IMPROVEMENT , BUT X-WE BE DESC-ALSO CONSIDER STRENGN DESC-LEGAL BASE TO ACCELERATE PROCESS .
","we see improvements , but we are also considering strengthening the legal base to accelerate the process .
"
"DESC-FINALLY , COURT EMPHASISE IMPORTANCE DESC-CLEAR OBJECTIVE , DESC-TRANSPARENT AND DESC-EASY TO UNDERSTAND RULE , AND DESC-EFFECTIVE SUPERVISION .
","finally , the court emphasises the importance of clear objectives , transparent and easy to understand rules , and effective supervision .
"
"THIS REDUCE RISK ERROR AND COST CONTROL .
","this reduces the risk of error and the costs of control .
"
"DESC-EVEN THOUGH X-IT CONCERN DESC-LAST YEAR X-POSS BUDGET , LET X-WE MAKE X-IT DESC-FORWARD LOOK PROCEDURE .
","even though it concerns last year's budget , let us make it a forward looking procedure .
"
"X-YOU HAVE DESC-HIGHLY DESC-SUCCESSFUL TRACK RECORD AND DESC-NOT ALL X-YOU COLLEAGUE CAN SAY THAT ABOUT X-MSELVES .
","you have a highly successful track record and not all of your colleagues can say that about themselves .
"
"TRAFFIC LIGHT SYSTEM BE DESC-GOOD SOLUTION , BECAUSE X-IT SEND OUT DESC-CLEAR MESSAGE .
","the traffic light system is a good solution , because it sends out clear messages .
"
"X-WE HAVE SUCCEED IN RAISE ASPIRATION EVERYONE INVOLVE BY USE THIS SYSTEM .
","we have succeeded in raising the aspirations of everyone involved by the use of this system .
"
"DESC-HOWEVER , 31 % BUDGET BE DESC-STILL COLOR IN RED .
","however , 31 % of the budget is still coloured in red .
"
"X-WE WILL DESC-DEFINITELY BE FOCUS ON THIS IN YEAR TO COME .
","we will definitely be focusing on this in the years to come .
"
"X-WE FOCUS WILL BE ON DESC-FORTHCOMING 2008 DISCHARGE PROCEDURE FOR DESC-STRUCTURAL FUND AND DESC-EXTERNAL AID .
","our focus will be on the forthcoming 2008 discharge procedure for the structural funds and external aid .
"
"THIS BE SOMETHING WHICH X-IT WOULD BE DESC-GOOD TO DISCUSS WITH DESC-NEW COMMISSIONER FOR DESC-EXTERNAL RELATION .
","this is something which it would be good to discuss with the new commissioner for external relations .
"
"X-WE MUST DEAL WITH PROBLEM IN THIS AREA AT SOURCE .
","we must deal with the problems in this area at source .
"
"COMMISSION X-POSS LACK STRATEGY FOR SE TWO COUNTRY BE CAUSE DESC-CONSIDERABLE CONCERN .
","the commission's lack of strategy for these two countries is causing considerable concern .
"
