id,text,gloss
40415,my second point relates to critical infrastructure .,X-MY DESC-SECOND POINT RELATE TO DESC-CRITICAL INFRASTRUCTURE .
40416,that could have devastating consequences .,THAT COULD HAVE DEVASTATE CONSEQUENCE .
40417,there is huge scope for cooperation in this area .,DESC-RE BE DESC-HUGE SCOPE FOR COOPERATION IN THIS AREA .
40418,we are determined to promote these principles throughout the world .,X-WE BE DETERMINE TO PROMOTE SE PRINCIPLE THROUGHOUT WORLD .
40419,we do this whenever we work together and when we work in international forums such as the united nations .,X-WE DO THIS WHENEVER X-WE WORK DESC-TOGER AND WHEN X-WE WORK IN DESC-INTERNATIONAL FORUM DESC-SUCH AS UNITE NATION .
40420,this cooperation must be improved .,THIS COOPERATION MUST BE IMPROVE .
40421,the various measures within this cooperation can complement each other .,DESC-VARIOUS MEASURE WITHIN THIS COOPERATION CAN COMPLEMENT EACH DESC-OR .
40422,we also need to coordinate our technical assistance better .,X-WE DESC-ALSO NEED TO COORDINATE X-WE DESC-TECHNICAL ASSISTANCE DESC-BETTER .
40423,i am very pleased that the american administration is showing such a strong interest in cooperating with us .,X-I BE DESC-VERY DESC-PLEASED THAT AMERICAN ADMINISTRATION BE SHOW DESC-SUCH DESC-STRONG INTEREST IN COOPERATE WITH X-WE .
40424,that is also what our friends in washington expect .,THAT BE DESC-ALSO WHAT X-WE FRIEND IN WASHINGTON EXPECT .
40425,but let us be also clear .,BUT LET X-WE BE DESC-ALSO DESC-CLEAR .
40426,the first formal summit with president obama took place after our informal meeting in prague this spring .,DESC-FIRST DESC-FORMAL SUMMIT WITH PRESIDENT OBAMA TAKE PLACE AFTER X-WE DESC-INFORMAL MEETING IN PRAGUE THIS SPRING .
40427,now the preparations for the washington summit are in full swing .,DESC-NOW PREPARATION FOR WASHINGTON SUMMIT BE IN DESC-FULL SWING .
40428,we are working with the us side on delivering tangible results in priority areas .,X-WE BE WORK WITH X-WE SIDE ON DELIVER DESC-TANGIBLE RESULT IN PRIORITY AREA .
40429,"in short , it will provide added value in a policy field , the importance of which is obvious .","IN DESC-SHORT , X-IT WILL PROVIDE ADD VALUE IN POLICY FIELD , IMPORTANCE WHICH BE DESC-OBVIOUS ."
40430,now there is also a new transatlantic economic council tec .,DESC-NOW DESC-RE BE DESC-ALSO DESC-NEW TRANSATLANTIC DESC-ECONOMIC COUNCIL TEC .
40431,"that will be complementary to the energy council , which we will re energise as well .","THAT WILL BE DESC-COMPLEMENTARY TO ENERGY COUNCIL , WHICH X-WE WILL RE ENERGISE AS DESC-WELL ."
40432,a promising area in our transatlantic cooperation is what we call upstream cooperation .,PROMISE AREA IN X-WE TRANSATLANTIC COOPERATION BE WHAT X-WE CALL DESC-UPSTREAM COOPERATION .
40433,"we will discuss policy approaches early on , so that we will avoid divergent regulation down the road .","X-WE WILL DISCUSS POLICY APPROACH DESC-EARLY ON , DESC-SO THAT X-WE WILL AVOID DESC-DIVERGENT REGULATION DESC-DOWN ROAD ."
40434,it goes without saying that we need such cooperation more than ever .,X-IT GO WITHOUT SAY THAT X-WE NEED DESC-SUCH COOPERATION MORE THAN DESC-EVER .
40435,the needed coherent response to the financial crisis is the best example for it .,NEED DESC-COHERENT RESPONSE TO DESC-FINANCIAL CRISIS BE DESC-BEST EXAMPLE FOR X-IT .
40436,we will also explore whether we can intensify this forum of cooperation for nanomaterial health care related information .,X-WE WILL DESC-ALSO EXPLORE WHER X-WE CAN INTENSIFY THIS FORUM COOPERATION FOR NANOMATERIAL HEALTH CARE RELATE INFORMATION .
40437,"upon a us initiative , we also intend to launch closer cooperation in the area of innovation .","UPON X-WE INITIATIVE , X-WE DESC-ALSO INTEND TO LAUNCH CLOSER COOPERATION IN AREA INNOVATION ."
40438,my colleague has already mentioned that gls will also be very important .,X-MY COLLEAGUE HAVE DESC-ALREADY MENTION THAT GL WILL DESC-ALSO BE DESC-VERY DESC-IMPORTANT .
40439,vice president barrot will represent the commission .,VICE PRESIDENT BARROT WILL REPRESENT COMMISSION .
40440,these agreements will strengthen our efforts in fighting crime in today's globalised world .,SE AGREEMENT WILL STRENGN X-WE EFFORT IN FIGHT CRIME IN TODAY X-POSS DESC-GLOBALISED WORLD .
40441,vice president barrot is also ready to meet the committee on civil liberties delegation while in washington .,VICE PRESIDENT BARROT BE DESC-ALSO DESC-READY TO MEET COMMITTEE ON DESC-CIVIL LIBERTY DELEGATION WHILE IN WASHINGTON .
40442,"in the context of this economic crisis , this issue is very closely linked with jobs .","IN CONTEXT THIS DESC-ECONOMIC CRISIS , THIS ISSUE BE DESC-VERY DESC-CLOSELY LINK WITH JOB ."
40443,"this involves , in particular , the question of the legislators .","THIS INVOLVE , IN DESC-PARTICULAR , QUESTION LEGISLATOR ."
40444,"for this reason , the administration cannot achieve this on its own .","FOR THIS REASON , ADMINISTRATION CAN DESC-NOT ACHIEVE THIS ON X-ITS DESC-OWN ."
40445,there is one final comment I would like to make about the summit .,DESC-RE BE ONE DESC-FINAL COMMENT X-I WOULD LIKE TO MAKE ABOUT SUMMIT .
40446,taking a joint approach in this area would make a major contribution towards shaping global relationships .,TAKE DESC-JOINT APPROACH IN THIS AREA WOULD MAKE DESC-MAJOR CONTRIBUTION TOWARDS SHAPE DESC-GLOBAL RELATIONSHIP .
40447,it is essential that copenhagen is a success .,X-IT BE DESC-ESSENTIAL THAT COPENHAGEN BE SUCCESS .
40448,we must all ensure that copenhagen is a success .,X-WE MUST ALL ENSURE THAT COPENHAGEN BE SUCCESS .
40449,it can only be successful if we have binding climate policy objectives .,X-IT CAN DESC-ONLY BE DESC-SUCCESSFUL IF X-WE HAVE DESC-BINDING CLIMATE POLICY OBJECTIVE .
40450,it is important that we talk to the us from a position of equality .,X-IT BE DESC-IMPORTANT THAT X-WE TALK TO X-WE FROM POSITION EQUALITY .
40451,it also rightly reiterates the role of an integrated transatlantic market by 20i would like an answer on that .,X-IT DESC-ALSO DESC-RIGHTLY REITERATE ROLE INTEGRATE TRANSATLANTIC MARKET BY DESC-20US WOULD LIKE ANSWER ON THAT .
40452,"madam president , in her speech , mrs malmström said that action was needed , not just fine words .","M SAY THAT ACTION BE NEED , DESC-NOT DESC-JUST FINE WORD ."
40453,"the first is combating tax havens , and this is something that was not mentioned in your speeches .","DESC-FIRST BE COMBATE TAX HAVEN , AND THIS BE SOMETHING THAT BE DESC-NOT MENTION IN X-YOU SPEECH ."
40454,the us treasury admits that tax havens result in a yearly tax revenue loss of usd 100 billion .,X-WE TREASURY ADMIT THAT TAX HAVEN RESULT IN DESC-YEARLY TAX REVENUE LOSS USD 100 BILLION .
40455,"the second point , which has just been mentioned , is the tax on financial transactions .","DESC-SECOND POINT , WHICH HAVE DESC-JUST BE MENTION , BE TAX ON DESC-FINANCIAL TRANSACTION ."
40456,"president obama wants to act , but he is blocked by his majority .","PRESIDENT OBAMA WANT TO ACT , BUT X-HE BE BLOCK BY X-HE MAJORITY ."
40457,"once this is done , we will be able to make progress in negotiations .","DESC-ONCE THIS BE DO , X-WE WILL BE DESC-ABLE TO MAKE PROGRESS IN NEGOTIATION ."
40458,this is our responsibility .,THIS BE X-WE RESPONSIBILITY .
40459,we must do it before the summit .,X-WE MUST DO X-IT BEFORE SUMMIT .
40460,"after all , the united states has been our closest ally for years .","AFTER ALL , UNITE STATE HAVE BE X-WE DESC-CLOSEST ALLY FOR YEAR ."
40461,we must be united in defence of our security .,X-WE MUST BE UNITE IN DEFENSE X-WE SECURITY .
40462,we must not forget that the north atlantic treaty organisation is the foundation of our transatlantic relations .,X-WE MUST DESC-NOT FORGET THAT DESC-NORTH ATLANTIC TREATY ORGANIZATION BE FOUNDATION X-WE TRANSATLANTIC RELATION .
40463,is this large deregulated market to be implemented by 2010 or 2015 ?,BE THIS DESC-LARGE DEREGULATE MARKET TO BE IMPLEMENT BY 2010 OR 2015 ?
40464,has it been confirmed ?,HAVE X-IT BE CONFIRM ?
40465,"in this day and age , they do it in the name of the fight against terrorism .","IN THIS DAY AND AGE , X-Y DO X-IT IN NAME FIGHT AGAINST TERRORISM ."
40466,"we have 16 very probably political prisoners in prison , charged with terrorism , without any evidence whatsoever .","X-WE HAVE 16 DESC-VERY DESC-PROBABLY DESC-POLITICAL PRISONER IN PRISON , CHARGE WITH TERRORISM , WITHOUT ANY EVIDENCE DESC-WHATSOEVER ."
40467,"we can , and should , undertake many things together .","X-WE CAN , AND SHOULD , UNDERTAKE DESC-MANY THING DESC-TOGER ."
40468,we need to further strengthen our relationship and create new institutional mechanisms .,X-WE NEED TO DESC-FURR STRENGN X-WE RELATIONSHIP AND CREATE DESC-NEW DESC-INSTITUTIONAL MECHANISM .
40469,this is the right time to undertake such action .,THIS BE DESC-RIGHT TIME TO UNDERTAKE DESC-SUCH ACTION .
40470,the decision to create the transatlantic economic council two years ago was the right one .,DECISION TO CREATE TRANSATLANTIC DESC-ECONOMIC COUNCIL TWO YEAR DESC-AGO BE DESC-RIGHT ONE .
40471,we need regular meetings between officials responsible for external affairs and security .,X-WE NEED DESC-REGULAR MEETING BETWEEN OFFICIAL DESC-RESPONSIBLE FOR DESC-EXTERNAL AFFAIR AND SECURITY .
40472,the parliament also wants two summits to take place every year .,PARLIAMENT DESC-ALSO WANT TWO SUMMIT TO TAKE PLACE EVERY YEAR .
40473,"if we have two summits with russia , why not with the united states ?","IF X-WE HAVE TWO SUMMIT WITH RUSSIUM , WHY DESC-NOT WITH UNITE STATE ?"
40474,"progress is not irreversible , as we all know so well in central europe .","PROGRESS BE DESC-NOT DESC-IRREVERSIBLE , AS X-WE ALL KNOW DESC-SO DESC-WELL IN DESC-CENTRAL EUROPE ."
40475,the tec must be more ambitious .,TEC MUST BE MORE DESC-AMBITIOUS .
40476,now it is a question of agreeing on a specific agenda for the tec which reflects these priorities .,DESC-NOW X-IT BE QUESTION AGREE ON SPECIFIC AGENDA FOR TEC WHICH REFLECT SE PRIORITY .
40477,collaborating on innovations for the development of low carbon economies and energy efficient societies is particularly important .,COLLABORATE ON INNOVATION FOR DEVELOPMENT DESC-LOW CARBON ECONOMY AND ENERGY DESC-EFFICIENT SOCIETY BE DESC-PARTICULARLY DESC-IMPORTANT .
40478,this is why the greens are in favour of a transatlantic new deal .,THIS BE WHY DESC-GREEN BE IN FAVOR TRANSATLANTIC DESC-NEW DEAL .
40479,three quick points .,THREE DESC-QUICK POINT .
40480,is it not time at this summit to say that we want a strategic dialogue for a strategic partnership ?,BE X-IT DESC-NOT TIME AT THIS SUMMIT TO SAY THAT X-WE WANT DESC-STRATEGIC DIALOGUE FOR DESC-STRATEGIC PARTNERSHIP ?
40481,it is actually a major opener .,X-IT BE DESC-ACTUALLY DESC-MAJOR OPENER .
40482,"lastly , it is disappointing that we have no study and no road map as promised by mr verheugen .","DESC-LASTLY , X-IT BE DESC-DISAPPOINTING THAT X-WE HAVE NO STUDY AND NO ROAD MAP AS PROMISE BY MR VERHEUGEN ."
40483,the study was paid for by parliament .,STUDY BE PAY FOR BY PARLIAMENT .
40484,the transatlantic market has a trade volume of around eur 2 billion per day .,TRANSATLANTIC MARKET HAVE TRADE VOLUME AROUND EUR 2 BILLION PER DAY .
40485,this makes it obvious how important the world trade organisation wto is .,THIS MAKE X-IT DESC-OBVIOUS HOW DESC-IMPORTANT WORLD TRADE ORGANIZATION WTO BE .
40486,"for these reasons , I would be happy if we could make real progress in our cooperation .","FOR SE REASON , X-I WOULD BE DESC-HAPPY IF X-WE COULD MAKE DESC-REAL PROGRESS IN X-WE COOPERATION ."
40487,i am hoping for good results in this respect next week .,X-I BE HOPE FOR DESC-GOOD RESULT IN THIS RESPECT NEXT WEEK .
40488,"however , the recent nobel peace prize that has just been awarded to him places him under pressure .","DESC-HOWEVER , DESC-RECENT NOBEL PEACE PRIZE THAT HAVE DESC-JUST BE AWARD TO X-HE PLACE X-HE UNDER PRESSURE ."
40489,peace in the middle east ?,PEACE IN MIDDLE DESC-EAST ?
40490,"it is something we hope for , but he is certainly not the master card .","X-IT BE SOMETHING X-WE HOPE FOR , BUT X-HE BE DESC-CERTAINLY DESC-NOT MASTER CARD ."
40491,peace in afghanistan ?,PEACE IN AFGHANISTAN ?
40492,the second aims to concentrate on a few urban areas and from there to launch large scale operations against al qaida .,DESC-SECOND AIM TO CONCENTRATE ON DESC-FEW DESC-URBAN AREA AND FROM DESC-RE TO LAUNCH DESC-LARGE SCALE OPERATION AGAINST AL QAIDA .
40493,"that , at least , is the view of my group .","THAT , AT DESC-LEAST , BE VIEW X-MY GROUP ."
40494,"however , we should not pretend to agree on everything .","DESC-HOWEVER , X-WE SHOULD DESC-NOT PRETEND TO AGREE ON EVERYTHING ."
40495,i am concerned for instance about the conflicting messages coming out of the us administration regarding russia .,X-I BE CONCERN FOR INSTANCE ABOUT CONFLICT MESSAGE COME OUT X-WE ADMINISTRATION REGARD RUSSIUM .
40496,"we need to defend atlanticism here , too .","X-WE NEED TO DEFEND ATLANTICISM DESC-HERE , DESC-TOO ."
40497,this affair of barriers to trade is being tackled as if the problems were only of a technical nature .,THIS AFFAIR BARRIER TO TRADE BE BE TACKLE AS IF PROBLEM BE DESC-ONLY DESC-TECHNICAL NATURE .
40498,"naturally , economic and commercial trade between the united states and europe is important for jobs and for businesses .","DESC-NATURALLY , DESC-ECONOMIC AND DESC-COMMERCIAL TRADE BETWEEN UNITE STATE AND EUROPE BE DESC-IMPORTANT FOR JOB AND FOR BUSINESS ."
40499,it ought to be developed .,X-IT OUGHT TO BE DEVELOP .
40500,"first of all , however , trade is not really in danger .","DESC-FIRST ALL , DESC-HOWEVER , TRADE BE DESC-NOT DESC-REALLY IN DANGER ."
40501,"madam president , I have a couple of points .","MADAM PRESIDENT , X-I HAVE COUPLE POINT ."
40502,"it is a very small operation , as we know .","X-IT BE DESC-VERY DESC-SMALL OPERATION , AS X-WE KNOW ."
40503,"i will be there next tuesday , commissioner .","X-I WILL BE DESC-RE NEXT TUESDAY , COMMISSIONER ."
40504,"in particular , accounting remains one of these aspects within the reach of policymakers and legislators .","IN DESC-PARTICULAR , ACCOUNTING REMAIN ONE SE ASPECT WITHIN REACH POLICYMAKER AND LEGISLATOR ."
40505,we want to be amongst the leaders for change .,X-WE WANT TO BE AMONGST LEADER FOR CHANGE .
40506,we need to be the impetus for this change .,X-WE NEED TO BE IMPETUS FOR THIS CHANGE .
40507,"pl madam president , I would like to thank you for giving me the floor .","PL MADAM PRESIDENT , X-I WOULD LIKE TO THANK X-YOU FOR GIVE X-I FLOOR ."
40508,the changes which have taken place in the united states have largely been very well received in europe .,CHANGE WHICH HAVE TAKE PLACE IN UNITE STATE HAVE DESC-LARGELY BE DESC-VERY DESC-WELL RECEIVE IN EUROPE .
40509,"our problem is that , in my opinion , we want to bring too many matters into the discussion .","X-WE PROBLEM BE THAT , IN X-MY OPINION , X-WE WANT TO BRING DESC-TOO DESC-MANY MATTER INTO DISCUSSION ."
40510,i think we should concentrate on two areas .,X-I THINK X-WE SHOULD CONCENTRATE ON TWO AREA .
40511,the first area concerns financial and economic matters .,DESC-FIRST AREA CONCERN DESC-FINANCIAL AND DESC-ECONOMIC MATTER .
40512,the second area is security .,DESC-SECOND AREA BE SECURITY .
40513,the united states and europe could do a lot more together in both these areas .,UNITE STATE AND EUROPE COULD DO LOT MORE DESC-TOGER IN BOTH SE AREA .
40514,"however , one important point trade is only touched on briefly .","DESC-HOWEVER , ONE DESC-IMPORTANT POINT TRADE BE DESC-ONLY TOUCH ON BRIEFLY ."
40515,i believe that international trade is a decisive factor .,X-I BELIEVE THAT DESC-INTERNATIONAL TRADE BE DESC-DECISIVE FACTOR .
40516,it is not the case that the us and the european union agree on every area .,X-IT BE DESC-NOT CASE THAT X-WE AND EUROPEAN UNION AGREE ON EVERY AREA .
40517,we should remind the council to keep to this mandate in its negotiations with the us .,X-WE SHOULD REMIND COUNCIL TO KEEP TO THIS MANDATE IN X-ITS NEGOTIATION WITH X-WE .
40518,"fortunately , this battle is taking place not with weapons , but mainly in the economic sector .","DESC-FORTUNATELY , THIS BATTLE BE TAKE PLACE DESC-NOT WITH WEAPON , BUT DESC-MAINLY IN DESC-ECONOMIC SECTOR ."
40519,europe must hold its own in this .,EUROPE MUST HOLD X-ITS DESC-OWN IN THIS .
40520,this is a key issue in the eu us summit's success .,THIS BE KEY ISSUE IN EU X-WE SUMMIT X-POSS SUCCESS .
40521,"madam president , I would like to thank all of the honourable members for their contributions to this debate .","MADAM PRESIDENT , X-I WOULD LIKE TO THANK ALL DESC-HONORABLE MEMBER FOR X-Y CONTRIBUTION TO THIS DEBATE ."
40522,i am very pleased that the american administration is showing such a desire to deepen and develop our relations .,X-I BE DESC-VERY DESC-PLEASED THAT AMERICAN ADMINISTRATION BE SHOW DESC-SUCH DESIRE TO DEEPEN AND DEVELOP X-WE RELATION .
